date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2026-01-01,6,3,1,1,1,1,1,3
2026-01-02,0,0,1,1,1,0,0,0
2026-01-03,0,0,1,1,1,0,0,0
2026-01-04,6,3,1,1,1,1,1,3
2026-01-05,6,3,1,1,1,1,1,3
2026-01-06,6,3,1,1,1,1,1,3
2026-01-07,6,3,1,1,1,1,0,3
2026-01-08,6,3,1,1,1,1,0,3
2026-01-09,0,0,1,1,1,0,0,0
2026-01-10,0,0,1,1,1,0,0,0
2026-01-11,6,3,1,1,1,1,1,3
2026-01-12,6,3,1,1,1,1,1,3
2026-01-13,6,3,1,1,1,1,0,3
2026-01-14,6,3,1,1,1,1,0,3
2026-01-15,6,3,1,1,1,1,1,3
2026-01-16,0,0,1,1,1,0,0,0
2026-01-17,0,0,1,1,1,0,0,0
2026-01-18,6,3,1,1,1,1,1,3
2026-01-19,6,3,1,1,1,1,1,3
2026-01-20,6,3,1,1,1,1,0,3
2026-01-21,6,3,1,1,1,1,1,3
2026-01-22,6,3,1,1,1,1,0,3
2026-01-23,0,0,1,1,1,0,0,0
2026-01-24,0,0,1,1,1,0,0,0
2026-01-25,6,3,1,1,1,1,1,3
2026-01-26,6,3,1,1,1,1,1,3
2026-01-27,6,3,1,1,1,1,0,3
2026-01-28,6,3,1,1,1,1,1,3
2026-01-29,6,3,1,1,1,1,0,3
2026-01-30,0,0,1,1,1,0,0,0
2026-01-31,0,0,1,1,1,0,0,0
